[run number];1;2;3;4;5;6;7;8;9;10
N-HUMATS;100;100;100;100;100;100;100;100;100;100
initialization;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform
allowed_contacts_per_day;1;2;3;4;5;6;7;8;9;10
;0;0;0;0;0;0;0;0;0;0
;10;5;7;7;9;13;7;9;11;11
;21;11;15;19;18;24;23;20;20;19
;27;16;24;26;27;32;35;29;28;27
;33;23;39;35;34;45;45;34;39;41
;42;31;45;43;45;57;51;43;48;62
;50;42;54;53;53;65;57;52;66;69
;57;45;63;65;64;74;71;59;77;76
;62;54;77;75;73;81;81;68;83;83
;67;64;84;83;83;88;92;77;92;94
;71;70;90;93;89;97;102;84;101;106
;75;78;97;109;97;107;116;89;113;115
;78;84;100;124;108;115;133;100;122;124
;79;85;108;132;117;122;143;108;130;130
;83;90;115;139;128;130;150;116;141;140
;89;96;120;146;138;137;160;122;148;150
;91;101;125;155;143;147;178;131;161;160
;95;109;130;160;153;157;185;137;169;173
;98;112;134;170;167;163;193;146;176;184
;100;120;134;174;173;173;198;157;185;193
;104;121;141;178;181;176;211;164;197;205
;108;125;147;181;194;183;219;167;210;218
;111;127;153;185;197;191;227;174;220;222
;114;133;156;191;199;202;237;183;228;234
;118;137;162;196;207;212;245;193;242;243
;131;147;172;211;214;223;252;205;253;251
;140;158;180;220;220;228;258;216;257;261
;148;165;186;238;225;238;260;229;267;267
;160;170;196;248;234;249;271;238;275;276
;168;175;208;264;243;258;280;250;282;284
;171;189;222;277;249;263;283;262;295;295
;173;196;231;284;256;268;290;273;300;311
;175;201;240;293;266;277;302;284;307;321
;178;208;250;307;277;288;315;288;315;330
;182;214;259;312;282;298;325;294;326;341
;186;224;261;315;296;308;333;308;339;351
;193;235;271;322;305;315;344;314;347;361
;200;241;278;326;318;322;361;328;355;369
;203;248;281;331;328;329;373;339;362;377
;209;252;281;342;334;337;378;347;372;391
;216;256;285;348;344;348;385;355;378;398
;219;265;289;351;349;357;392;363;389;409
;225;270;299;353;357;368;401;374;401;420
;229;273;308;359;364;374;411;381;415;429
;233;275;312;364;369;384;428;394;426;442
;240;280;320;367;381;391;436;401;433;451
;243;282;325;372;387;404;448;409;448;461
;246;285;332;376;393;416;453;416;454;471
;253;288;338;385;402;424;465;423;465;482
;267;292;351;395;405;436;476;428;480;494
;274;301;362;410;416;444;485;441;492;503
;280;312;369;415;425;453;490;452;502;517
;285;322;380;425;434;467;502;459;515;528
;289;331;390;441;444;482;512;470;523;534
;298;335;403;449;455;489;527;481;536;549
;303;342;408;454;466;497;540;488;544;556
;308;346;420;461;475;504;553;492;557;561
;312;357;424;471;488;506;557;503;571;569
;314;359;426;474;498;509;567;515;584;577
;318;363;432;484;504;522;571;522;591;589
;322;371;437;491;515;533;579;531;603;601
;324;378;442;500;526;543;591;539;614;614
;329;384;445;510;529;558;598;549;626;620
;331;390;455;520;536;568;605;557;638;631
;339;393;463;522;546;570;612;569;652;648
;344;402;467;530;555;579;623;576;666;654
;350;405;476;541;561;591;633;583;677;670
;358;408;478;545;566;600;651;588;689;681
;363;411;483;550;572;608;653;597;699;693
;364;415;486;558;582;620;664;607;710;703
;371;422;488;561;584;627;673;615;718;714
;376;427;489;564;590;631;682;625;730;722
;379;431;492;566;594;640;688;633;739;727
;392;442;506;575;608;654;695;644;752;734
;402;453;515;586;615;663;707;651;768;748
;408;462;524;593;622;671;716;660;789;759
;424;473;544;601;628;682;722;669;796;772
;427;479;548;608;638;689;736;677;802;784
;433;487;555;617;643;699;747;684;814;794
;441;496;562;624;653;710;757;695;829;802
;446;504;572;630;660;719;769;711;843;815
;455;512;581;646;670;727;781;721;851;822
;460;517;588;662;682;740;794;732;865;830
;464;524;593;678;690;752;801;742;876;838
;467;534;596;685;698;763;815;748;883;845
;470;540;604;694;706;777;831;757;894;854
;477;545;611;704;720;787;840;770;910;863
;486;550;616;710;734;800;851;779;917;869
;489;553;619;718;742;810;861;789;931;881
;495;562;624;728;752;822;871;795;938;893
;498;569;632;734;761;827;880;807;946;904
;501;573;633;738;769;833;888;818;956;917
;503;579;636;743;778;838;897;825;962;924
