BehaviorSpace results (NetLogo 6.2.0)
HUMAT_COVID_visitors_measure_FINAL.nlogo
importances_sweep
12/14/2021 14:24:46:706 +0100
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-45,""45"",""-45"",""45"""
"[run number],""N-HUMATS"",""experiential-importance-parameter"",""values-importance-parameter"",""min_attraction_dif"",""initialization"",""repulsion_dif"",""stop-at-day-hundred?"",""dilemma_threshold"",""adhere-to-rule-effect"",""extra_exp_satisfaction_per_hour"",""inquiry-opinion-change"",""break-the-rule-effect"",""parametrize-importances?"",""social-influence-per-tick"",""repulsion?"",""no_contact_accept_probability"",""max_attraction_dif"",""values_satisfaction_opinion_contribution"",""inquiry_probability"",""make_contact_probability"",""allowed_contacts_per_day"",""[step]"",""average_contacts_per_day_per_humat"",""average_dilemmas_per_day_per_humat"",""average_opinion_sd_over_time"",""average_opinion_mean_over_time"""
"1,""100"",""0"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.388989898989899"",""1"",""16.822306560938923"",""45.27747474747474"""
"4,""100"",""0"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.4188888888888889"",""0.5907070707070707"",""18.46526541526993"",""42.06686868686867"""
"7,""100"",""0"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.337878787878788"",""0.374040404040404"",""18.580205121328717"",""44.7729292929293"""
"10,""100"",""0"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.4523232323232325"",""0.2593939393939394"",""18.52348184151684"",""46.04565656565657"""
"2,""100"",""0"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.888080808080808"",""1"",""20.335187948593276"",""50.133030303030274"""
"8,""100"",""0"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.8681818181818182"",""0.32727272727272727"",""18.46910861175872"",""57.55050505050505"""
"5,""100"",""0"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9117171717171717"",""0.6816161616161617"",""17.963959861589828"",""52.96848484848484"""
"11,""100"",""0"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.8625252525252527"",""0.17939393939393938"",""17.402024201163556"",""53.77434343434344"""
"9,""100"",""0"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.18989898989899"",""0.35737373737373734"",""15.705402160952755"",""60.7528282828283"""
"12,""100"",""0"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.187070707070707"",""0.30282828282828284"",""16.058242404650773"",""54.544242424242405"""
