"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"importances_sweep"
"12/14/2021 15:30:46:329 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","N-HUMATS","experiential-importance-parameter","values-importance-parameter","min_attraction_dif","initialization","repulsion_dif","stop-at-day-hundred?","dilemma_threshold","adhere-to-rule-effect","extra_exp_satisfaction_per_hour","inquiry-opinion-change","break-the-rule-effect","parametrize-importances?","social-influence-per-tick","repulsion?","no_contact_accept_probability","max_attraction_dif","values_satisfaction_opinion_contribution","inquiry_probability","make_contact_probability","allowed_contacts_per_day","[step]","average_contacts_per_day_per_humat","average_dilemmas_per_day_per_humat","average_opinion_sd_over_time","average_opinion_mean_over_time"
"1","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3938383838383839","1","18.91725636411998","44.478282828282815"
"8","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3987878787878787","1","16.928933282946318","43.456464646464646"
"2","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3888888888888888","1","16.918053471272646","47.755151515151525"
"10","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3953535353535351","1","16.336486645854094","42.48454545454547"
"4","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3793939393939394","1","20.689876722736745","42.15707070707071"
"11","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3978787878787877","1","16.23539947890076","43.95828282828283"
"5","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3822222222222222","1","19.35897403822195","43.699090909090934"
"12","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.4054545454545453","1","18.174711828420396","49.85424242424242"
"3","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.401919191919192","1","16.02685551707666","39.98232323232324"
"9","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3829292929292931","1","19.137170235138562","48.212525252525246"
"7","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.4183838383838383","1","16.979977198660205","46.784343434343434"
"6","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3927272727272728","1","16.914347031905347","43.46202020202019"
"13","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3804040404040405","1","18.593499153022943","50.453535353535365"
"15","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3766666666666665","1","18.52529311660496","45.490606060606076"
"14","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.396969696969697","1","16.32232570243221","46.181414141414145"
"16","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3985858585858586","1","17.34873427551921","50.183838383838385"
"17","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3974747474747473","1","17.111547282108504","42.71717171717171"
"21","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3856565656565656","1","18.29591944163164","45.541010101010095"
"18","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3845454545454547","1","17.431846206450693","45.63131313131313"
"20","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3704040404040405","1","18.589782982497233","43.5390909090909"
"19","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3822222222222222","1","18.492981063343617","42.08515151515149"
"22","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.4017171717171717","1","17.78112495489148","42.739999999999995"
"23","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3840404040404042","1","20.635767733799348","45.167777777777786"
"24","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.412828282828283","1","18.30434033360961","46.103636363636376"
"25","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.39989898989899","1","19.966961368514916","49.370606060606065"
"26","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3926262626262627","1","20.166110159902416","44.46555555555554"
"29","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3712121212121213","1","16.95234836693425","44.23262626262627"
"28","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3752525252525252","1","17.71963187940913","40.21777777777778"
"27","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3958585858585857","1","18.438184104384785","47.68202020202019"
"30","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.389191919191919","1","14.883393712877742","47.40686868686869"
"31","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3909090909090909","1","17.82582916532049","45.39525252525254"
"32","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.4092929292929293","1","17.042063411637447","46.66797979797982"
"35","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.386262626262626","1","18.354010122347876","48.28717171717173"
"33","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.41010101010101","1","17.70261200181153","40.56818181818185"
"34","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.398080808080808","1","17.403861395931465","44.7610101010101"
"36","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3858585858585857","1","19.199976034811677","45.2267676767677"
"37","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3965656565656566","1","18.49657022416438","40.54969696969699"
"39","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3902020202020202","1","18.02319186949303","44.45757575757576"
"40","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.3734343434343435","1","17.609401226396223","44.421010101010076"
"38","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","1.398989898989899","1","19.076894718898757","49.74535353535352"
