"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"importances_sweep_final_values"
"12/15/2021 12:09:41:654 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","N-HUMATS","experiential-importance-parameter","values-importance-parameter","min_attraction_dif","initialization","repulsion_dif","stop-at-day-hundred?","dilemma_threshold","adhere-to-rule-effect","extra_exp_satisfaction_per_hour","inquiry-opinion-change","break-the-rule-effect","parametrize-importances?","social-influence-per-tick","repulsion?","no_contact_accept_probability","max_attraction_dif","values_satisfaction_opinion_contribution","inquiry_probability","make_contact_probability","allowed_contacts_per_day","[step]","mean [n_contacts_this_day] of HUMATS","percentage_in_dilemma * 100","standard-deviation [opinion_measure] of HUMATS","mean [opinion_measure] of HUMATS"
"7","100","0","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.16","27","16.055242386236593","40.37"
"1","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.16","100","11.939625055446525","37.97"
"5","100","0","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.66","56.99999999999999","16.641371714052074","55.21"
"11","100","0","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.34","16","15.261769758504947","55.26"
"4","100","0","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.8","55.00000000000001","16.829255431653483","42.78"
"10","100","0","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.32","19","18.004724408057484","40.46"
"8","100","0","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.7","33","14.614435232731957","53.21"
"2","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.78","100","11.996565164978504","54.04"
"12","100","0","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.32","16","12.614770082820545","66.17"
"3","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.32","100","13.337120674223046","62.4"
"9","100","0","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.54","25","14.84282638008998","57.44"
"6","100","0","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.56","57.99999999999999","14.105214309150734","62.85"
"13","100","0","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.6","16","14.679553567097775","40.84"
"16","100","0","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.56","11","16.236493998820595","44.35"
"14","100","0","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.88","19","14.452747807663405","56.37"
"17","100","0","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.72","15","14.529923842494387","49.55"
"15","100","0","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.28","18","13.79200104877073","65.77"
"19","100","0.2","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.46","52","15.01917965721689","37.8"
"18","100","0","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.24","15","14.443355048274102","62.34"
"20","100","0.2","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.94","66","15.413817099464936","47.01"
"22","100","0.2","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.38","45","15.556336199748193","35.98"
"23","100","0.2","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.82","47","15.929630608182075","53.38"
"21","100","0.2","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","3.86","61","15.1307299856613","62.48"
"24","100","0.2","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.2","46","15.209260868353075","66.46"
"25","100","0.2","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.2","28.999999999999996","15.81989541397448","34.44"
"26","100","0.2","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.1","26","15.104601613382256","48.15"
"28","100","0.2","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.24","23","18.243501679648936","34.27"
"29","100","0.2","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.3","20","15.580238713955517","53.06"
"27","100","0.2","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.4","22","14.0499649519675","59.85"
"31","100","0.2","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.72","18","18.108815309654904","37.01"
"34","100","0.2","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.18","19","18.34469069697488","41.76"
"32","100","0.2","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.96","12","14.714560232242174","53.87"
"30","100","0.2","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.66","19","11.69043466370103","66.98"
"33","100","0.2","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.92","26","14.505906146508503","62.23"
"35","100","0.2","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.18","13","14.25069907907764","54.22"
"36","100","0.2","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.54","12","14.19692312660128","64.73"
"37","100","0.4","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.28","40","12.645292971830834","31.34"
"38","100","0.4","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.1","31","14.459570945197234","53.54"
"40","100","0.4","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.02","40","14.849072344592761","38.1"
"39","100","0.4","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.4","31","16.00230728313384","62.13"
"43","100","0.4","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.88","33","17.72465896296838","36.09"
"41","100","0.4","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.92","26","14.445561339880236","52.45"
"44","100","0.4","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.84","27","13.815271158095928","51.13"
"42","100","0.4","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.16","22","13.62134391684646","65.12"
"46","100","0.4","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.92","19","15.48618152359768","35.42"
"45","100","0.4","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.34","24","11.938711332586458","61.75"
"47","100","0.4","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.68","19","17.501200536020956","53.03"
