"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"importances_sweep_final_values"
"12/15/2021 12:38:16:818 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","N-HUMATS","experiential-importance-parameter","values-importance-parameter","min_attraction_dif","initialization","repulsion_dif","stop-at-day-hundred?","dilemma_threshold","adhere-to-rule-effect","extra_exp_satisfaction_per_hour","inquiry-opinion-change","break-the-rule-effect","parametrize-importances?","social-influence-per-tick","repulsion?","no_contact_accept_probability","max_attraction_dif","values_satisfaction_opinion_contribution","inquiry_probability","make_contact_probability","allowed_contacts_per_day","[step]","mean [n_contacts_this_day] of HUMATS","percentage_in_dilemma","standard-deviation [opinion_measure] of HUMATS","mean [opinion_measure] of HUMATS"
"8","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.68","1","15.175738212786564","38.8"
"11","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.14","1","14.138831834934798","39.35"
"1","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.82","1","12.652559927827758","37.56"
"4","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.66","1","11.840262589225722","38.99"
"10","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.52","1","13.431077335189403","39.49"
"6","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.12","1","12.468445019813865","43.15"
"2","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.74","1","17.318595132796926","40.84"
"12","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.86","1","12.952418751536392","40.55"
"3","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.72","1","12.82392019988152","43.54"
"7","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.76","1","14.156195773860958","43.81"
"9","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.44","1","13.620379857946237","40.02"
"5","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","2.6","1","14.55666739527168","41.32"
"13","100","0","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.2","1","14.05114755010236","41.86"
