"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"100_Runs_average"
"12/09/2021 17:57:16:864 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"N-HUMATS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"initialization","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021","RIVM survey: 10-14 feb 2021"
"allowed_contacts_per_day","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"experiential-importance-parameter","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"min_attraction_dif","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"
"stop-at-day-hundred?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"repulsion_dif","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"dilemma_threshold","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"break-the-rule-effect","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"adhere-to-rule-effect","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
